TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN005137,10/1/2024,Power Bank 10000mAh,Electronics,North,Online,1,711.59,711.59,UPI,CUST0622
TXN004280,10/1/2024,LED TV 32in,Electronics,East,Online,4,9611.53,38446.12,Net Banking,CUST0811
TXN005424,10/1/2024,Shampoo 400ml,Beauty & Personal Care,South,Online,4,184.98,739.92,UPI,CUST0326
TXN001375,10/1/2024,Toor Dal 1kg,Grocery,South,Online,2,118.03,236.06,Cash,CUST0845
TXN002492,10/1/2024,Wheat Flour 5kg,Grocery,North,Online,2,306.64,613.28,Net Banking,CUST0800
TXN001006,10/1/2024,Shampoo 400ml,Beauty & Personal Care,South,Online,4,324.56,1298.24,Cash,CUST0193
TXN001349,10/1/2024,Basmati Rice 5kg,Grocery,East,Offline,1,515.84,515.84,Credit Card,CUST0523
TXN002482,10/1/2024,Formal Shirt,Clothing,West,Online,1,1077.16,1077.16,Cash,CUST0397
TXN000563,10/1/2024,Hair Oil,Beauty & Personal Care,South,Online,4,234.82,939.28,UPI,CUST0105
TXN001503,10/1/2024,Smartwatch,Electronics,South,Online,1,2492.24,2492.24,UPI,CUST0384
TXN000421,10/1/2024,Non-Stick Pan,Home & Kitchen,East,Online,1,486.43,486.43,Credit Card,CUST0236
TXN001713,10/1/2024,Basmati Rice 5kg,Grocery,South,Online,2,383.42,766.84,UPI,CUST0234
TXN004441,10/1/2024,Perfume 100ml,Beauty & Personal Care,East,Online,2,906.52,1813.04,Credit Card,CUST0721
TXN005098,10/1/2024,Non-Stick Pan,Home & Kitchen,North,Offline,1,809,809,Net Banking,CUST0679
TXN005683,10/1/2024,Men's T-Shirt,Clothing,South,Offline,3,389.9,1169.7,UPI,CUST0654
TXN004951,10/1/2024,Perfume 100ml,Beauty & Personal Care,East,Offline,3,887.37,2662.11,Cash,CUST0155
TXN004806,10/1/2024,Face Wash,Beauty & Personal Care,East,Offline,1,161.41,161.41,UPI,CUST0248
TXN000114,10/2/2024,Wireless Earbuds,Electronics,South,Offline,3,1728.24,5184.72,Credit Card,CUST0039
TXN005478,10/2/2024,Basmati Rice 5kg,Grocery,West,Online,1,394.51,394.51,Credit Card,CUST0737
TXN002077,10/2/2024,LED Bulb Pack,Home & Kitchen,North,Offline,5,376.98,1884.9,UPI,CUST0749
TXN003030,10/2/2024,Pressure Cooker,Home & Kitchen,East,Offline,4,1766.52,7066.08,Cash,CUST0117
TXN003858,10/2/2024,LED TV 32in,Electronics,East,Online,3,12702.63,38107.89,Credit Card,CUST0689
TXN004093,10/2/2024,Perfume 100ml,Beauty & Personal Care,South,Offline,2,831.37,1662.74,UPI,CUST0311
TXN003700,10/2/2024,Sunscreen SPF50,Beauty & Personal Care,North,Online,1,504.3,504.3,Credit Card,CUST0249
TXN001128,10/2/2024,Toor Dal 1kg,Grocery,West,Offline,4,166.44,665.76,Net Banking,CUST0877
TXN005882,10/2/2024,Men's T-Shirt,Clothing,East,Offline,3,809.19,2427.57,Credit Card,CUST0442
TXN005857,10/2/2024,Wheat Flour 5kg,Grocery,South,Online,3,296.05,888.15,Credit Card,CUST0746
TXN002817,10/2/2024,Body Lotion,Beauty & Personal Care,East,Offline,2,320.54,641.08,UPI,CUST0309
TXN004238,10/2/2024,Smartwatch,Electronics,West,Online,3,3489.31,10467.93,Net Banking,CUST0075
TXN003395,10/2/2024,Basmati Rice 5kg,Grocery,East,Online,2,405.89,811.78,Credit Card,CUST0367
TXN002513,10/2/2024,Sunscreen SPF50,Beauty & Personal Care,North,Online,2,627.81,1255.62,UPI,CUST0024
TXN001985,10/2/2024,Perfume 100ml,Beauty & Personal Care,West,Offline,1,1515.24,1515.24,Credit Card,CUST0068
TXN001977,10/2/2024,Sugar 1kg,Grocery,North,Offline,1,42.43,42.43,Credit Card,CUST0449
TXN005013,10/2/2024,LED TV 32in,Electronics,North,Online,1,14003.01,14003.01,Credit Card,CUST0619
TXN002834,10/3/2024,Kids Hoodie,Clothing,East,Offline,3,660,1980,Credit Card,CUST0454
TXN003222,10/3/2024,Formal Shirt,Clothing,East,Online,2,1590.52,3181.04,UPI,CUST0474
